URL,"id формы","Название формы"
https://laparoskopiya.ru/,form162444545,"Записаться на приём. Заявка из поп-апа - Header"
https://laparoskopiya.ru/,form337889981,"Заявка на обратный звонок. Заявка из поп-апа - Header"
https://laparoskopiya.ru/,form339765983,"Узнать цену холецистэктомии из Статьи"
https://laparoskopiya.ru/,form346684300,"Перезвоните мне. Ловец лидов"
https://laparoskopiya.ru/,form183628784,"Заявка из поп-апа - 2 экран: Записаться на приём к врачу"
https://laparoskopiya.ru/,form183622378,"Заявка из поп-апа - 2 Экран: Узнать цены"
https://laparoskopiya.ru/,form65235014,"Что потребуется перед операцией"
https://laparoskopiya.ru/,form183620916,"Бесплатная консультация по телефону: Заказать консультацию"
https://laparoskopiya.ru/,form65235035,"Отправлен Отзыв"
https://laparoskopiya.ru/,form183642926,"Блок Цен: Записаться на приём к врачу"
https://laparoskopiya.ru/,form183643278,"Блок Цен: Узнать цены"
https://laparoskopiya.ru/,form65235045,"Контакты: Связаться с нами"
https://laparoskopiya.ru/adenomioz,form162444545,"Записаться на приём. Заявка из поп-апа - Header"
https://laparoskopiya.ru/adenomioz,form337889981,"Заявка на обратный звонок. Заявка из поп-апа - Header"
https://laparoskopiya.ru/adenomioz,form339765983,"Узнать цену холецистэктомии из Статьи"
https://laparoskopiya.ru/adenomioz,form346684300,"Перезвоните мне. Ловец лидов"
https://laparoskopiya.ru/adenomioz,form391839446,"Запись к врачу"
https://laparoskopiya.ru/adenomioz,form391865670,"Запись к гинекологу"
https://laparoskopiya.ru/appointment,form162444545,"Записаться на приём. Заявка из поп-апа - Header"
https://laparoskopiya.ru/appointment,form337889981,"Заявка на обратный звонок. Заявка из поп-апа - Header"
https://laparoskopiya.ru/appointment,form339765983,"Узнать цену холецистэктомии из Статьи"
https://laparoskopiya.ru/appointment,form346684300,"Перезвоните мне. Ловец лидов"
https://laparoskopiya.ru/appointment,form367810956,"Онлайн запись на прием к врачу"
